Total,Clearance,Circulation,PairwiseDistance,PairwiseAngle,ConversationDistance,ConversationAngle,Balance,Alignment,WallAlignment,Symmetry,Emphasis,AcceptanceProbability,Iteration
-72.465100,0.000000,0.000000,-1.069602,-2.001868,-3.159431,-3.705455,0.799465,-8.986155,-4.585302,8.373287,-1.089951,1.000000,140.000000
-72.735600,0.000000,0.000000,-1.078153,-1.993224,-3.159431,-3.690785,0.792563,-9.099272,-4.622577,8.374578,-1.089540,1.000000,141.000000
-73.664830,0.000000,0.000000,-1.118311,-1.953677,-3.159431,-3.635389,0.759058,-9.485988,-4.766037,8.372051,-1.090350,1.000000,142.000000
-73.654910,0.000000,0.000000,-1.127806,-1.898841,-3.159431,-3.600595,0.711927,-9.537761,-4.851793,8.343307,-1.101117,0.990131,143.000000
-73.843680,0.000000,0.000000,-1.127806,-1.872635,-3.202464,-3.615817,0.724418,-9.537761,-4.851793,8.276850,-1.109725,1.000000,144.000000
-73.873630,0.000000,0.000000,-1.127806,-1.877435,-3.202464,-3.614610,0.726080,-9.547336,-4.851426,8.281870,-1.107420,1.000000,145.000000
-73.232440,0.000000,0.000000,-0.846611,-1.846807,-3.215622,-3.620706,0.741111,-9.547336,-4.851426,8.281615,-1.114836,0.526662,146.000000
-73.222400,0.000000,0.000000,-0.806810,-1.824559,-3.215622,-3.652272,0.769314,-9.575250,-4.813596,8.243141,-1.134868,0.990018,147.000000
-73.037190,0.000000,0.000000,-0.792393,-1.818203,-3.215622,-3.670767,0.781900,-9.514034,-4.779002,8.228519,-1.143079,0.830929,148.000000
-72.049710,0.000000,0.000000,-0.265503,-1.799779,-3.200930,-3.725734,0.844697,-9.514034,-4.779002,8.283799,-1.179938,0.372511,149.000000
-71.901860,0.000000,0.000000,-0.329691,-1.793277,-3.200930,-3.646679,0.799680,-9.552554,-4.851099,8.364981,-1.147666,0.862567,150.000000
-72.485150,0.000000,0.000000,-0.822100,-1.801612,-3.155188,-3.611936,0.774129,-9.552554,-4.851099,8.432833,-1.125406,1.000000,151.000000
-72.437580,0.000000,0.000000,-0.832077,-1.803811,-3.155188,-3.606744,0.770436,-9.534614,-4.851859,8.439379,-1.122010,0.953552,153.000000
-72.315420,0.000000,0.000000,-0.769674,-1.813314,-3.155188,-3.595751,0.795130,-9.591825,-4.831347,8.461912,-1.110917,0.885005,154.000000
-74.066100,0.000000,0.000000,-1.127806,-1.900487,-3.208562,-3.619072,0.743021,-9.591825,-4.831347,8.284287,-1.100266,1.000000,155.000000
-73.339390,0.000000,0.000000,-1.127806,-1.946641,-3.208562,-3.659795,0.786489,-9.292333,-4.689628,8.308711,-1.091099,0.483495,156.000000
-73.690060,0.000000,0.000000,-1.130864,-1.946641,-3.208562,-3.659795,0.808486,-9.459917,-4.673065,8.308711,-1.091099,1.000000,162.000000
-73.687840,0.000000,0.000000,-1.133203,-1.946641,-3.208562,-3.659795,0.825009,-9.502015,-4.638122,8.308711,-1.091099,0.997790,163.000000
-73.650120,0.000000,0.000000,-1.138010,-1.936262,-3.208562,-3.659795,0.821971,-9.502015,-4.638122,8.308711,-1.091099,0.962975,165.000000
-73.661110,0.000000,0.000000,-1.137759,-1.936262,-3.208562,-3.659795,0.820339,-9.501223,-4.642534,8.308711,-1.091099,1.000000,167.000000
-73.404240,0.000000,0.000000,-1.132969,-1.936262,-3.208562,-3.659795,0.788547,-9.336834,-4.688932,8.308711,-1.091099,0.773472,168.000000
-72.625400,0.000000,0.000000,-1.144090,-1.936262,-3.208562,-3.659795,0.860478,-9.276077,-4.472414,8.308711,-1.091099,0.458939,169.000000
-73.411640,0.000000,0.000000,-1.140467,-1.936262,-3.208562,-3.659795,0.837800,-9.467697,-4.584581,8.308711,-1.091099,1.000000,170.000000
-73.317050,0.000000,0.000000,-1.132409,-1.936262,-3.208562,-3.659795,0.784768,-9.299457,-4.689612,8.308711,-1.091099,0.909740,172.000000
-73.625600,0.000000,0.000000,-1.135074,-1.936262,-3.208562,-3.659795,0.802641,-9.443609,-4.677475,8.308711,-1.091099,1.000000,174.000000
